NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Karawang Kota Baru Sarimulya,Jl. Jend Sudirman Kp Bakan Maja RT15 RW06 Kel Sarimulya,06-01-2025,JAWA BARAT,Wilayah II,"Muchtar Ibrahim, S.T., M.Si",Yayasan Mishbahul Huda Pamanukan,-6.41058,107.47422
SPPG Depok Tapos Kebayunan 2,"Jln Kebayunan RT 04/RW 15, Kelurahan Tapos, Kecamatan Tapos, Kota Depok, Jawa Barat",06-01-2025,JAWA BARAT,Wilayah II,Fajri Subiantoro,Yayasan Gerakan Solidaritas Nasional,-6.40599,106.89274
SPPG Kota Cimahi Cimahi Utara Pasirkaliki,"Jl. Gunung Batu Dalam No. 43, RT. 001, RW. 011, Kel. Pasir Kaliki, Kec. Cimahi Utara, Kota Cimahi",06-01-2025,JAWA BARAT,Wilayah II,"FIRMANSYAH, S.IP.",Yayasan Arara Visi Hijau,-6.88776,107.56882
SPPG Bogor Caringin Pancawati,"Jl. Veteran 1, Legok Nyenang, Ds. Pancawati, Kec. Caringin, Kab. Bogor",06-01-2025,JAWA BARAT,Wilayah II,Tamarell Vimy Salsa Bila,,-6.72479,106.87237
SPPG Kota Bogor Tanah Sareal Kedung Badak 1,Jl. Kol. Enjo Martadisastra RT 7 RW 5,06-01-2025,JAWA BARAT,Wilayah II,Ajeng Noorseta,Yayasan Perjuangan Untuk Kesejahteraan Rakyat,-6.56773,106.80656
SPPG Karawang Cibuaya Cibuaya,"Jl. H. Moch. Toyib, Dusun Cibuaya 1, RT001/RW001, Desa Cibuaya, Kec. Cibuaya, Kab. Karawang, Jawa Barat",06-03-2025,JAWA BARAT,Wilayah II,Syafrudin Fathoni,Yayasan Pendidikan Islam Al Faridiyah,-6.05993,107.35329
SPPG Garut Tarogong Kidul Jayaraga,"Jl. Patrakomala No.7 , RT 002/RW 008, Kelurahan Jayaraga, Kecamatan Tarogong Kidul, Kabupaten Garut, Jawa Barat",06-06-2025,JAWA BARAT,Wilayah II,Ikhsan Ramdani Iskandar,Yayasan Nardi Tujuh Pitulungan,-7.20571,107.90169
SPPG Bandung Kutawaringin Gajah Mekar,"Jl. Gajah Mekar No.222 Desa Gajah Mekar, Kecamatan Kutawaringin, Kabupaten Bandung Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Muhamad Samsul Arif,,-6.97494,107.53706
SPPG Kota Bandung Buahbatu Margasari 3,"Jl. Komplek Melati, Margasari, Buahbatu, Kota Bandung, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Aditya Ramdhani,,-6.95455,107.67026
SPPG Ciamis Panumbangan Payungsari,"Dusun Lengkongsari Desa Payungsari, Kec. Panumbangan, Kab. Ciamis, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Rifqi Ahmad Fauzi,,-7.12033,108.23941
SPPG Majalengka Kertajati Pakubeureum,"Jl. Raya Kadipaten Jatitujuh Blok Pangumbahan Rt.001 Rw 001 Desa Pakuabeureum Kecamatan Kertajati, Kabupaten Majalengka, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Balgis Gusthaela Alldera,,-6.72475,108.16813
SPPG Purwakarta Tegalwaru Citalang,"Kampung Citalang Rt 006 Rw 002 Desa Citalang, Kecamatan Tegalwaru, Kabupaten Purwakarta, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Debi Firdaus,,-6.53659,107.46523
SPPG Bandung Barat Cipatat Nyalindung,"Kampung Cikubang Rt. 01 Rw 05 Desa Nyalindung Kecamatan Cipatat Kabupaten Bandung Barat, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Ahmad Rosandi,,-6.78964,107.44127
SPPG Bandung Baleendah Baleendah 3,"Jl. Rd. T. Endung S. I, Baleendah, Kecamatan Baleendah, Kabupaten Bandung, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Muhamad Rifki Nurfauzi,,-7.00566,107.62185
SPPG Garut Pameungpeuk Pameungpeuk,"Jl. Tambak Baya No 90,Rt 01,Rw 12 Desa Pameungpeuk,Kec Pameungpeuk,Kab Garut Jawa Barat 44175",06-09-2025,JAWA BARAT,Wilayah II,Sindi Maolida Abdilah,,-7.64612,107.70415
SPPG Kota Bekasi Jatiasih Jatikramat,"Jl. Dr. Ratna No.70, RT 003/RW 002, Kelurahan Jatikramat, Kecamatan Jatiasih, Kota Bekasi, Provinsi Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Muhammad Haikal Alfarabi Saragih,,-6.27819,106.95178
SPPG Kota Depok Sawangan Sawangan Baru,"Jl. H Hamid I, Sawangan Baru, Sawangan, Kota Depok, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Fikri Maulana Ibrahim,,-6.39841,106.76457
SPPG Bekasi Tambun Selatan Lambangsari," Jl. Celebration Boulevard Grand Wisata Bekasi, Kec. Tambun Selatan, Kab. Bekasi, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,"Andhika Wahyu Kurniawan, S.E.",,-6.27934,107.04778
SPPG Garut Bayongbong Sirnagalih,"Gang Sports Jalan Raya Panembong Rt 1 Rw 7 Kampung Cisitu Desa Sirnagalih, Kecamatan Bayongbong, Kabupaten Garut, Jawa Barat, 44162",06-09-2025,JAWA BARAT,Wilayah II,Gilang Nuryayi,,-7.26799,107.82478
SPPG Bandung Barat Cipongkor Sukamulya,"Kampung Jl. Cagak Rt.02 Rw.07, Sukamulya, Cipongkor, Kabupaten Bandung Barat, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Acep Saepul Zamil,,-7.00556,107.55537
SPPG Kota Bogor Bogor Barat Pasir Mulya 2,"Blok F5 No 3-4 Rt 05/ Rw06 Pasir Mulya, Kec. Bogor Barat, Kota Bogor, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Mochamad Faujan Nur Akbar,,-6.5984,106.77237
SPPG Kota Bandung Cibeunying Kaler Cihaur Geulis,"Jl. Cisokan Baru No.12, RT 07/RW 08, Kelurahan Cihaur Geulis, Kecamatan Cibeunying Kaler, Kota Bandung, Provinsi Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Dias Irfan Fadhila,,-6.90182,107.63287
SPPG Bandung Barat Lembang Cibodas 3,"Jl. Maribaya Timur 1, Rt.01/Rw.10, Cibodas, Lembang, Kab. Bandung Barat, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Ahmad Hikami,,-6.82489,107.68567
SPPG Kota Bekasi Rawalumbu Pengasinan,"JL H Jayun No 27 Rt004/Rw003,Pengasinan,Rawa Lumbu.Kota Bekasi",06-09-2025,JAWA BARAT,Wilayah II,Evalia Sita Mulyani,,-6.26853,107.01642
SPPG Bandung Barat Cikalongwetan Mandalamukti 2,"Kampung Baru Rt 01 Rw 04, Mandalamukti, Cikalongwetan, Kabupaten Bandung Barat, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,M. Gufron Sugih,,-7.02561,107.5265
SPPG Bandung Majalaya Biru,"Jl. Cidawolong, Biru, Majalaya, Kab. Bandung, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Muhammad Fadhil Novaldri,,-7.0477,107.72443
SPPG Kota Cirebon Harjamukti Kalijaga,"Jl. Tugu Dalam 01 No.02 Rt.001 Rw.004, Kalijaga, Harjamukti, Kota Cirebon, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Mohammad Rinaldi,,-6.75043,108.54745
SPPG Bogor Caringin Lemah Duhur,"Jl. Ds Lemah Duhur Rt. 002 Rw. 001, Lemah Duhur, Caringin, Kab. Bogor, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Muhamad Ramadhan Hidayat,,-6.72751,106.85428
SPPG Bandung Paseh Cipedes,"Kampung Cipedes Ponclot Rt. 02 Rw.013 Desa Cipedes Kecamatan Paseh Kab. Bandung, Jawa Barat",06-09-2025,JAWA BARAT,Wilayah II,Mohamad Rizki Hidayat,,-7.03347,107.79439
SPPG Ciamis Ciamis Imbanagara,"Dusun Warungkulon Rt 01/ Rw 03, Imbanagara, Kec. Ciamis, Kab. Ciamis, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Wanda Hana An Nafisah,,-7.31372,108.29099
SPPG Majalengka Dawuan Genteng,"Blok Kamis Rt 001/Rw 003 , No. 40. Desa Genteng Kec. Dawuan Kab.&nbsp;Majalengka, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Fahrul Ibra Mubarak,,-6.76111,108.19685
SPPG Kota Bogor Bogor Selatan Cikaret,"Jl. Flamboyan No. 23, Cikaret, Kec. Bogor Selatan, Kota Bogor, Jawa Barat 16132",06-10-2025,JAWA BARAT,Wilayah II,Endra Wiradhika,,-6.61669,106.78551
SPPG Karawang Klari Belendung,"Jalan Boled ,Dusun Cirejag RT.001/RW.002 , Belendung, Kec. Klari, Kab. Karawang, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Hisar Desmon Sinaga,,-6.33969,107.38143
SPPG Karawang Rengasdengklok Rengasdengklok Selatan,"Jl. Rengasdengklok No. 328, Rengasdengklok Selatan, Kec. Rengasdengklok, Kab. Karawang, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Fakhri Huzaemi Kartaatmaja,,-6.15924,107.29832
SPPG Kota Cimahi Cimahi Utara Cipageran 2,"Jl. Kolonel Masturi No 2, Cipageran, Kecamatan Cimahi Utara, Kota Cimahi, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Muhammad Gatot Darmawan,,-6.84157,107.55251
SPPG Bandung Cileunyi Cileunyi Wetan 3,Panyawungan Rt.03 Rw.03 Desa Cileunyi Wetan Kecamatan Cileunyi Kabupaten Bandung Provinsi Jawa Barat 40622,06-10-2025,JAWA BARAT,Wilayah II,Muhamad Rizky Alzaelani,,-6.94923,107.7505
SPPG Bandung Rancaekek Jelegong,"Kampung Cipasir Rt01/Rw12, Jelegong, Kec. Rancaekek, Kab. Bandung, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Jani Hidayah,,-6.96091,107.78032
SPPG Purwakarta Wanayasa Taringgul Tengah,Desa Taringgul Tengah Kecamatan Wanayasa Kabupaten Purwakarta Jawa Barat,06-10-2025,JAWA BARAT,Wilayah II,Ghifar Rahman,,-6.63116,107.51655
SPPG Kota Bekasi Bekasi Barat Bintarajaya 3,"Jl. Bintara Jaya Rt. 002 Rw. 001, Bintarajaya, Kecamatan Bekasi Barat, Kota Bekasi, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Muhammad Rifqi Rahman,,-6.24749,106.94713
SPPG Subang Purwadadi Wanakerta,"Jl. Raya Purwadadi, Ciela, Desa Wanakerta, Kec. Purwadadi, Kabupaten Subang, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Ghaida Mujahid Akbar,,-6.47628,107.68711
SPPG Purwakarta Jatiluhur Mekargalih 3,"Jl. Pemuda (Sasak Besi), Mekargalih, Kec. Jatiluhur, Kab. Purwakarta, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Fikri Al Fisahrin,,-6.56549,107.43363
SPPG Sukabumi Cisaat Sukasari 2,"Jl. Kadudampit, Sukasari, Kecamatan Cisaat, Kabupaten Sukabumi, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Fauzi Aulia Rahman,,-6.89062,106.89927
SPPG Ciamis Cipaku Buniseuri 3,"Jl. Raya Cipaku No.269, Buniseuri, Kec. Cipaku, Kabupaten Ciamis, Jawa Barat 46252",06-10-2025,JAWA BARAT,Wilayah II,Mohamad Hielmi Barkah,,-7.22207,108.3326
SPPG Cirebon Plumbon Cempaka,"Jl. Ki Gede Mayaguna No.25, Cempaka, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",06-10-2025,JAWA BARAT,Wilayah II,Andika,,-6.74029,108.47556
SPPG Kota Bekasi Pondokmelati Jatirahayu 2,"Jl. Raya Hankam No.213, Rt.001/Rw.013, Jatirahayu, Kecamatan Pondokmelati, Kota Bekasi, Jawa Barat",06-10-2025,JAWA BARAT,Wilayah II,Daniswara Zuhdi,,-6.29987,106.92403
SPPG Purwakarta Purwakarta Nagri Kaler 2,"Jln. Veteran no 155 Gg. Alamanda RT/RW 86/11 Kec. Purwakarta, Kab. Purwakarta, Jawa Barat",07-01-2025,JAWA BARAT,Wilayah II,Gugun Gunarto. S.H,Yayasan Al-Muhajirin Purwakarta,-6.5264,107.44722
SPPG Cirebon Arjawinangun Arjawinangun,"jl. pahlawan, Arjawinangun, Kec. Arjawinangun, Kabupaten Cirebon",07-07-2025,JAWA BARAT,Wilayah II,Mohammad Khoero Affandi,Yayasan Pondok Ilmu Derma Agung,-6.64368,108.40528
SPPG Bogor Cibinong Nanggewer Mekar,"Perumahan Puri Alam Kencana 2, blok N 1 Nomor 5, Desa Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Provinsi Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Ovidra Rolio Dwiqyarta,Yayasan Makmur Peduli Gizi,-6.50484,106.83724
SPPG Kota Bandung Panyileukan Cipadung Kulon,"Jl. Sukamaju, Cipadung Kulon, Kec. Panyileukan, Kota Bandung, Jawa Barat 40614",07-07-2025,JAWA BARAT,Wilayah II,Addifa Adhariansyah,Yayasan Amanah Puri Annisa,-6.92223,107.7059
SPPG Bekasi Cikarang Selatan Ciantara,"Kp. Cicadas RT 10 /RW 05, Ciantra, Cikarang Selatan, Kab.Bekasi. Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Rifal Auladi,Yayasan Bina Mustika Alam,-6.34216,107.11563
SPPG Bandung Cileunyi Cileunyi Wetan 1,JL. Panyawungan No.9 RT 003 RW 016 Cileunyi Kab. Bandung Jawa Barat,07-07-2025,JAWA BARAT,Wilayah II,Moch Alby Rizla Hafidz,Yayasan Hanum Kirani Tabina,-6.95047,107.74728
SPPG Sukabumi Bojonggenteng Cipanengah,"Kampung Nanggela RT 013 RW 004, Kelurahan Cipanengah, Kecamatan Bojonggenteng, Kabupaten Sukabumi, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Riyan Amir,Yayasan Sakinatul Husna Alfarabi,-6.44952,106.78441
SPPG Kota Depok Sawangan Kedaung 2,"Jl. Jambu Sai`hi III No. 50 RT/01 RW/04, Kedaung, Sawangan, Kota Depok, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Ringga Wijaya Kusuma,Yayasan Pangan Sinar Kasih,-6.3774,106.74973
SPPG Kota Bandung Bojongloa Kaler Babakan Asih,Jl. Kopo No. 176 Babakan Asih Bojongloa Kaler Kota Bandung 40232,07-07-2025,JAWA BARAT,Wilayah II,Shafira Karunia Hildawati,Yayasan Darul Akrim Inayah,-6.93433,107.59596
SPPG Bandung Solokanjeruk Solokanjeruk 1,"Jl. Raya Majalaya-Rancaekek No. 365. Kelurahan Solokanjeruk, Kecamatan Solokanjeruk, Kabupaten Bandung, Provinsi Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Tatang Wahyudi,Yayasan Halibut Venus Perkasa,-7.00957,107.74883
SPPG Bogor Pamijahan Gunung Bunder I,"Sindang Pala (Gunung Bunder 1),  Kp. Mesjid RT. 001 RW. 005 Desa Gunung Bunder 1, Kecamatan Pamijahan, Kabupaten Bogor",07-07-2025,JAWA BARAT,Wilayah II,Ade sahrul palah,Yayasan Hidayatussyifa Pamijahan,-6.64802,106.6842
SPPG Cianjur Cilaku Rancagoong 2,"KP. Rencong RT 002/005, Desa Rencagoong, Kecamatan  Cilaku Cianjur, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Nawa Joda Pradana,Yayasan Tunas Mekar Cianjur,-6.84412,107.11392
SPPG Cianjur Bojongpicung Jati,"Kp. Kaum RT/RW 003/008, Desa Jati, Kec. Bojongpicung, Kab. Cianjur, PROV. Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Ramdani Syukur,Yayasan Berkah Abdi Sadaya,-6.85757,107.24208
SPPG Bandung Paseh Mekarpawitan,"Kp. Jati RT 003, RW 003, Desa Mekarpawitan, Kecamatan Paseh, Kabupaten Bandung, Jawa Barat ",07-07-2025,JAWA BARAT,Wilayah II,Irfan Agustyan,Yayasan Komunitas Pohon Indonesia,-7.04621,107.78256
SPPG Cirebon Gunung Jati Adidharma,"Jalan Sumadinata No. 11, Adidharma, Kec. Gunung Jati, Kab. Cirebon, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Ikbal Nur Rahman,Yayasan Miftahul Ullum,-6.69742,108.55133
SPPG Kota Bogor Bogor Utara Bantarjati,"`Perumahan Indrapasta I, Jl. Arimbi IV No. 10, Kelurahan Bantarjati, Bogor Utara,  Kota Bogor, BANTARJATI, BOGOR UTARA, KOTA BOGOR, JAWA BARAT`",07-07-2025,JAWA BARAT,Wilayah II,Anggi Ariska ,Yayasan Bangun Bangsa Bersama,-6.56846,106.81279
SPPG Garut Cibalong Mekarsari,"Kp. Simpang Sari RT 04 RW 03 , MEKARSARI, CIBALONG, KAB. GARUT, JAWA BARAT",07-07-2025,JAWA BARAT,Wilayah II,Rahayu,Yayasan Al-Zawami Garut,-7.69207,107.82864
SPPG Cianjur Cilaku Sirnagalih 2,"Jl. Perintis Kemerdekaan no. 1 , Desa Sirnagalih, Kecamatan Cilaku, Kabupaten cianjur, Provinsi Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Anindiya Setiyanur,Yayasan Cakra Insani Sejahtera,-6.8485,107.1361
SPPG Garut Bayongbong Cikedokan,"Jl Bojongsari, Cikedokan, Kec. Bayongbong, Kabupaten Garut, Jawa Barat 44162",07-07-2025,JAWA BARAT,Wilayah II,Fahmi Muhammad Arsyad,Yayasan Qurrota A`Yun,-7.26799,107.82478
SPPG Bogor Pamijahan Gunung Picung,Rt. 03 Rw. 02 Kp. Susukan Ds. Gunung Picung Kec. Pamijahan Bogor,07-07-2025,JAWA BARAT,Wilayah II,"Fernando Abdillah, S.Pd",Yayasan Masjid Al Fattah Cireundeu,-6.6768,106.67882
SPPG Kota Bandung Cinambo Babakan Penghulu,"Jl. Gedebage Selatan No.19A, Babakan Penghulu, Cinambo, Kota Bandung, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Silvi Fitria,Yayasan Pelita Ganda Sejahtera,-6.93856,107.69223
SPPG Ciamis Panjalu Panjalu 1,"Dusun Garahang, RT 27/RW 12, Desa Panjalu, Kec. Panjalu, Kab. Ciamis, Jawa Barat, 46264",07-07-2025,JAWA BARAT,Wilayah II,Indah Azhari Nur Fazriah,Yayasan Cahaya Mutiara Anugrah,-7.1445,108.25833
SPPG Kuningan Cigugur Cigadung 2,"Jalan Lebegede RT 003 RW 008, Kel. Cigadung, Kec. Cigugur, Kab. Kuningan, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,Rena Puspitasari,YPI Almaemun Sindangbarang,-6.98618,108.45168
SPPG Bogor Ciampea Bojongrangkas,"Jl. Wr. Borong KM. 12, Bojong Rangkas, Kec. Ciampea, Kab. Bogor, Jawa Barat",07-07-2025,JAWA BARAT,Wilayah II,"Rechky Rahmad Hidayat, S.Tr.Pi",Yayasan Bangun Bangsa Bersama,-6.55409,106.69563
SPPG Sumedang Pamulihan Pamulihan,"Dusun kucing, RT/RW 01/05, Desa linggajaya, Kec. Cisitu, Kab. sumedang",07-07-2025,JAWA BARAT,Wilayah II,Humaedi,,-6.8847,108.03522
SPPG Cirebon Mundu Banjarwangunan,Jl. Banjarwangunan Rt.001/004 Desa Banjarwangunan Kec. Mundu Kab.Cirebon Banjarwangunan Mundu Kabupaten Cirebon Provinsi Jawa Barat,07-07-2025,JAWA BARAT,Wilayah II,Chamim Ihwanur Robi,Yayasan Pondok Ilmu Derma Agung,-6.7518,108.57438
SPPG Bandung Baleendah Rancamanyar,"Jl. Bojong Sayang No.46, Rancamanyar, Baleendah, Kab. Bandung, Jawa Barat",07-08-2025,JAWA BARAT,Wilayah II,Fajar Bismajati Rismawan,,-6.98244,107.59259
SPPG Purwakarta Purwakarta Ciseureuh 5,Jl. Veteran No. 342A Rt 003 Rw 003 Kel. Ciseureuh Kec. Purwakarta Kab. Purwakarta Provinsi Jawa Barat ,07-08-2025,JAWA BARAT,Wilayah II,Muhammad Ray Fauzan Mukhlisin,,-6.52256,107.44967
SPPG Kota Bekasi Jatisampurna Jatirangga,"Desa Jatirangga, Kecamatan Jatisampurna, Kota Bekasi, Provinsi Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Muhammad Farhan Adhantyo,,-6.36173,106.93855
SPPG Tasikmalaya Sukaratu Gunungsari 2,"Jl. Pinggirsari Gunungsari Sukaratu Kab Tasikmalaya, Gunungsari, Sukaratu, Kab. Tasikmalaya, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Gani Harisman,,-7.29661,108.14609
SPPG Majalengka Leuwimunding Parakan,Jl. Desa Parakan Rt 003/007 Desa Parakan Kecamatan Leuwimunding Kabupaten Majalengka Jawa Barat,07-09-2025,JAWA BARAT,Wilayah II,Muhamad Abdul Basith Alwafi ,,-6.6197,106.77392
SPPG Kota Tasikmalaya Kawalu Gunung Tandala,"Gunungtandala Kampung Sukasari Kelurahan Gunungtandala, Kecamatan Kawalu, Kota Tasikmalaya, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Naufal Hibatul Wafi,,-7.38427,108.21736
SPPG Tasikmalaya Bojonggambir Bojonggambir 2,"Kampung Sinargalih Rt.02/Rw.01, Bojonggambir, Kab. Tasikmalaya, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Rizqi Abdul Muhaemin Abdullah,,-7.41765,107.98543
SPPG Kota Bekasi Bekasi Utara Harapanjaya,"Jl. Tomat Raya Blok A No.2, Rt.002/Rw.015, Harapanjaya, Kecamatan Bekasi Utara, Kota Bekasi, Jawa Barat ",07-09-2025,JAWA BARAT,Wilayah II,Angga Wiratama,,-6.20686,106.98428
SPPG Garut Sukawening Maripari,"Kampung Mariuk Rt.01 Rw.06 Desa Maripari Kecamatan Sukawening Kabupaten Garut, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Arbi Yuan Aspahany,,-7.12588,107.98518
SPPG Bandung Soreang Soreang,"Kampung Sukarame Rt 02 Rw 16, Soreang, Kab. Bandung, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Mardiyana,,-7.01055,107.74557
SPPG Cirebon Sedong Sedong Kidul,Dusun 1 Rt 001/002 Desa Sedong Kidul Kecamatan Sedong Kabupaten Cirebon,07-09-2025,JAWA BARAT,Wilayah II,Heru Dwi Haditianto,,-6.87299,108.59123
SPPG Bandung Ciparay Sarimahi,"Jalan Raya Lawsi No. 606, Sarimahi, Kecamatan Ciparay, Kabupaten Bandung, Provinsi Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Agni Maulana Fauzi,,-7.03288,107.70763
SPPG Cirebon Klangenan Danawinangun,"Jl. Nyimas Endang Geulis, Danawinangun, Kecamatan Klangenan, Kabupaten Cirebon, Provinsi Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Anwar Rosyidin,,-6.65274,108.45876
SPPG Sukabumi Cikembar Bojongkembar,"Perum Residence, Kampung Pasir Gabig, Bojongkembar, Cikembar, Kabupaten Sukabumi, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Ade Fiqh Hidayatulloh,,-6.93302,106.77515
SPPG Kota Bandung Babakan Ciparay Sukahaji,"Jl. Situ No.34 Bandung, Sukahaji, Babakan Ciparay, Kota Bandung, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Fauzi Hamzah,,-6.92137,107.58336
SPPG Bekasi Babelan Kedung Pengawas,"Jl. Raya Pasar Babelan, Kel. Kedung Pengawas, Kabupaten Bekasi, Provinsi Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Rivaldi Simanjuntak,,-6.13874,107.05111
SPPG Cianjur Karangtengah Sindanglaka 4,"Jl. Halte Maleber RT 008/RW 001, Desa Hegarmanah, Kecamatan Karangtengah, Kabupaten Cianjur, Provinsi Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Agus Rizal Maulidi,,-6.82017,107.17379
SPPG Bandung Cicalengka Tenjolaya,"Jl. Raya By Pass, Tenjolaya, Cicalengka, Kabupaten Bandung, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Mohamad Asyraf Fakhriza,,-6.9917,107.84273
SPPG Kuningan Ciawigebang Karangkamulyan,"Dusun Pasir Tengah Rt 12 Rw 03 Desa Karangkamulyan Kecamatan Ciawigebang, Kabupaten Kuningan, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Afni Dwy Febrianti,,-6.95817,108.58605
SPPG Tasikmalaya Cineam Cineam,"Jl. Cikondang Cineam Kab. Tasikmalaya, Cikondang, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Siti Anugrah Padabela,,-7.42126,108.34394
SPPG Kota Depok Cipayung Pondok Jaya,"Jl. Padat Karya No.7 Rt02/Rw06, Pondok Jaya, Cipayung, Kota Depok, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Muhammad Fathurrahman Saleh,,-6.44279,106.8097
SPPG Cirebon Arjawinangun Arjawinangun 3,"Jl. Kebon Pringkidul, Kecamatan Arjawinangun, Kabupaten Cirebon, Provinsi Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Sayyid Muhammad Abiyyu,,-6.63665,108.43545
SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3,"Jl. Laskar Dalam No.22, Rt.004/Rw.002, Pekayonjaya, Kec. Bekasi Selatan, Kota Bekasi, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Mohammad Rizal Tamami S.T.,,-6.25357,106.98445
SPPG Bandung Barat Cililin Rancapanggung 3,"Jl. Pasir Panjang Rt.001 Rw.005 Tj. Sari, Waduk, Rancapanggung, Kec. Cililin, Kab. Bandung Barat, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Jawad Muhammad,,-6.98314,107.43467
SPPG Garut Mekarmukti Mekarmukti,"Kampung Cikanyere, Rt.002/005, Mekarmukti, Kec. Mekarmukti, Kab. Garut, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Deden Nasihin,,-6.29369,107.15501
SPPG Bogor Cibinong Sukahati 3,"Perumahan Bojong Depok Baru 2 Blok By 06 Rt 001 Rw 015, Sukahati, Kec. Cibinong, Kab. Bogor, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Lucky Bayu Priyambodo,,-6.50654,106.80053
SPPG Subang Cijambe Gunungtua,"Jl. Subang Cijambe, Gunungtua, Kecamatan Cijambe, Kabupaten Subang, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Nurdyansyah,,-6.632,107.72831
SPPG Sumedang Conggeang Conggeang Kulon,"Dusun Conggeang Rt 05 Rw 02 , Conggeang Kulon, Kecamatan Conggeang, Kabupaten Sumedang, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Muhamad Akbar Faturohman,,-6.74344,108.00841
SPPG Kota Cimahi Cimahi Tengah Baros,"Jl. H. Haris No.5A,(3I) Baros, Kecamatan Cimahi Tengah, Kota Cimahi, Jawa Barat ",07-10-2025,JAWA BARAT,Wilayah II,Muh Yusuf,,-6.89234,107.53774
SPPG Bandung Nagreg Ciaro,"Desa Ciaro, Kecamatan Nagreg, Kabupaten Bandung, Jawa Barat",07-10-2025,JAWA BARAT,Wilayah II,Efanie Olivia Azmi,,-7.03625,107.92575
