;Unnamed: 0;NamaSPPG;Alamat;Tanggal Opsnal;Provinsi;wilayah;Nama Kepala;Nama Yayasan;Latitude;Longitude
3058;3058;SPPG Subang Tanjungsiang Tanjungsiang;Kampung Tanjungsiang Rt 004 Rw 002, Tanjungsiang, Kec. Tanjungsiang, Kab. Subang, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Neng Riani Nofianti;;-6.74316;107.80558
3059;3059;SPPG Purwakarta Purwakarta Ciseureuh 3;Jl. Ipik Gandamanah No. 33 Rt 004 Rw 006, Ciseureuh, Purwakarta, Kabupaten Purwakarta, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Guvra Trama;;-6.53817;107.45227
3060;3060;SPPG Majalengka Maja Cihaur;Blok Sumping Hayu Desa Cihaur Kecamatan Maja Kabupaten Majalengka Provinsi Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Isa Badruzaman Hidayat;;-6.93853;108.30485
3061;3061;SPPG Indramayu Terisi Jatimulya;Jl. Raya Terisi Indramayu, Jatimulya, Kec. Trisi, Kabupaten Indramayu, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Chandy Reza Eka Nugraha;;-6.62717;108.02114
3063;3063;SPPG Kota Bandung Andir Campaka;Jl. Cimindi No.88, Cempaka, Kecamatan Andir, Kota Bandung, Provinsi Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Ahmad Mujahid;;-6.89963;107.56289
3064;3064;SPPG Kota Bandung Kiaracondong Sukapura;Jl. Cidurian Utara No.70 RT.06 RW.13 Kelurahan Sukapura, Kecamatan Kiaracondong, Kota Bandung, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Fadhil Abil Qosim Limbong;;-6.93553;107.65483
3065;3065;SPPG Tasikmalaya Culamega Cintabodas;Kp. Nangeleng RT 004 / RW  001 Cintabodas Kecamatan Culamega Kabupaten Tasikmalaya, Jawa Barat 46188;22-09-2025;JAWA BARAT;Wilayah II;USEP SAEPULOH;;-7.5643;108.03994
3066;3066;SPPG Garut Kadungora Tanggulun;Jl. H. Abdurahman No 40 Rt 000 Rw 000, Tanggulun, Kec. Kadungora, Kab. Garut, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Alwi Salma;;-7.08373;107.89865
3067;3067;SPPG Kota Bogor Bogor Barat Cilendek Barat 2;Jl. Dr. Semeru, Rt02/Rw02, Ruko Brajamustika Bm II No.4-5, Menteng, Kec. Bogor Barat, Kota Bogor, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Moechammad Firly Djulyansyah;;-6.57896;106.77209
3068;3068;SPPG Bandung Baleendah Manggahang 4;Jl. Raya Laswi No. 60, Desa. Manggahang, Kec. Baleendah, Kab. Bandung, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Frizki Ramadhan Wiganda, S.T.;;-7.01124;107.63359
3069;3069;SPPG Kota Depok Pancoran Mas Depok Jaya;Jl. Mawar Raya No.190 Rt.007/Rw.005, Kelurahan Depok Jaya, Kecamatan Pancoran Mas, Kota Depok, Provinsi Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Abdul Aziiz;;-6.39181;106.81391
3070;3070;SPPG Kota Bandung Sukasari Gegerkalong 3;Jl. Dr. Setiabudi No.159, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Muhammad Rizki Ramadhan;;-6.86897;107.59348
3071;3071;SPPG Subang Patokbeusi Tanjungrasa;Jl. Prapatan Kondang, Tanjungrasa, Patokbeusi, Kabupaten Subang, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Faizal Gusti Susmanto;;-6.36934;107.56135
3072;3072;SPPG Tasikmalaya Sukaratu Sukagalih;Kampung Nyalindung Rt.019 Rw.007 Desa Sukagalih, Kecamatan Sukaratu, Kabupaten Tasikmalaya, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Acep Abdul Rohman;;-7.27745;108.16659
3074;3074;SPPG Bogor Sukaraja Cikeas;Jl. Sukaraja Cikeas, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Mochamad Evan Denata;;-6.58827;106.84072
3075;3075;SPPG Ciamis Rancah Kiarapayung;Dusun Ciroyom Rt 06 Rw 09 Desa Kiarapayung Kecamatan Rancah Kab. Ciamis Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;DUDI TRIAJI, S.E;;-7.20517;108.46188
3076;3076;SPPG Garut Singajaya Singajaya;Kampung Cibuntu, Singajaya, Kec. Singajaya, Kab. Garut, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Figo Sam Pratama;;-7.52062;107.86287
3077;3077;SPPG Garut Cisurupan Pangauban 2;Kp. Negla RT001/RW001, Jl. Pangauban KM 4,5, Kec. Cisurupan, Kabupaten Garut, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Ariandi Aqil Syrojd;;-7.27472;107.78142
3078;3078;SPPG Cirebon Astanajapura Sidamulya;Jl. Gemulung Lebak Mertapada, Sidamulya, Kec. Astanajapura, Kab. Cirebon, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Beny Aziz Azhury Nurpriyatna;;-6.81196;108.61328
3079;3079;SPPG Bandung Barat Padalarang Ciburuy 3;Jl. Cikamuning Sadang, Desa Ciburuy, Kecamatan Padalarang, Kab. Bandung Barat, Provinsi Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Mesa Mustika;;-6.82733;107.47062
3080;3080;SPPG Indramayu Sukra Sukra;Dusun Kedongdong Rt/RW 02/03 Desa Sukra Kec Sukra Indramayu, Sukra, Sukra, Kab. Indramayu, Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Wildan Nasyibah;;-6.30917;107.95531
3083;3083;SPPG Karawang Klari Klari;Dusun Kopo Rt 006/Rw 002 Desa Klari Kec. Klari Kab. Karawang Jawa Barat;22-09-2025;JAWA BARAT;Wilayah II;Fitra Sadilah;;-6.35435;107.35928
3084;3084;SPPG Kota Bandung Gedebage Cisaranten Kidul;Jl. Bulevar Selatan, Beryl Commercial No. 36, Summarecon Bandung;23-04-2025;JAWA BARAT;Wilayah II;Dandy Nugraha;Yayasan Dapur Sehat Merah Putih;-6.2277;107.0027
3085;3085;SPPG Tasikmalaya Singaparna Cipakat;Jalan Muktamar NU.XXIX RT004 RW 008, Desa Cipakat, Singaparna, Kab.Tasikmalaya, Provinsi Jawa Barat;23-06-2025;JAWA BARAT;Wilayah II;Muhamad Febri Suhaya;Yayasan Komarudin Ruhiat Cipasung;-7.34503;108.12575
3086;3086;SPPG Bogor Gunung Putri Ciangsana;Desa Ciangsana, Kecamatan Gunung Putri. Kabupaten Bogor, Provinsi Jawa Barat;23-06-2025;JAWA BARAT;Wilayah II;Agam Gutara Wilsandy;Yayasan Sinergi Ketahanan Pangan;-6.35991;106.95789
3087;3087;SPPG Garut Pameungpeuk Mandalakasih;Jalan KP Beubeudahan Desa Mandalakasih Kec. Pameungpeuk Kab. Garut Provinsi Jawa Barat 44175;23-06-2025;JAWA BARAT;Wilayah II;Muhammad Aditya Adti;Yayasan Dapur Sehat Merah Putih;-7.64513;107.72983
3088;3088;SPPG Sukabumi Jampangkulon Bojonggenteng;Jl. Raya Cinagen Rt 08 Rw 03, Desa Bojonggenteng, Kec. Jampangkulon, Kab. Sukabumi, Jawa Barat;23-06-2025;JAWA BARAT;Wilayah II;Muhammad Iqbal;Yayasan Al-Fathonah Jampangkulon;-7.25062;106.63075
3089;3089;SPPG Kota Bekasi Pondokgede Jatiwaringin;JL Raya Jatiwaringin RT 001/RW 011, Jatiwaringin, Kec Pd Gede Kota Bekasi Jawa Barat 17411;23-06-2025;JAWA BARAT;Wilayah II;Shelvia Nanda;Yayasan Salam Mughni Abadi;-6.26991;106.91185
3091;3091;SPPG Garut Cilawu Cilawu;Jl. Sukamukti - Cilawu - Garut No.Km. 8, Cilawu, Kec. Cilawu, Kabupaten Garut, Jawa Barat 44181;23-06-2025;JAWA BARAT;Wilayah II;Dicky Zafar Syidik;Yayasan Always Be Positive;-7.27558;107.91905
3092;3092;SPPG Kota Tasikmalaya Cipedes Panglayungan;Jalan Ir. H. Juanda, Panglayungan, Kecamatan Cipedes, Kota Tasikmalaya, Provinsi Jawa Barat;23-06-2025;JAWA BARAT;Wilayah II;Jawwad Ahsan Manaqib;;-7.31996;108.19883
3093;3093;SPPG Sukabumi Cisaat Cisaat 3;Kampung Cibencoy, RT 029/RW 008, Kelurahan Cisaat, Kecamatan Cisaat, Kabupaten Sukabumi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Muhamad Rizki Muchlis;;-6.90878;106.89051
3094;3094;SPPG Kota Depok Cilodong Sukamaju 2;Jalan H. Dimun Raya, RT 001/RW 011, Kelurahan Sukamaju, Kecamatan Cilodong, Kota Depok, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Tema Febriana;;-6.40833;106.85118
3095;3095;SPPG Sumedang Sumedang Selatan Kota Kulon 3;Jalan Panyindangan Nomor 16, Kelurahan Kota Kulon, Kecamatan Sumedang Selatan, Kabupaten Sumedang, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Fajar Rachadian Meizal;;-6.83918;107.91175
3097;3097;SPPG Kota Sukabumi Gunung Puyuh Karang Tengah 2;Jalan Merbabu Nomor 29, Kelurahan Karang Tengah, Kecamatan Gunung Puyuh, Kota Sukabumi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Reski Afandi;;-6.90973;106.9134
3098;3098;SPPG Bekasi Cikarang Barat Cikedokan 2;Kelurahan Cikedokan, Kecamatan Cikarang Barat, Kabupaten Bekasi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Paulus Rapianto Situngkir;;-6.34128;107.07486
3099;3099;SPPG Majalengka Kertajati Bantarjati;Jati Manunggal Sejahtera Jalan Jatibarang Kadipaten, Blok Bantarjati, Desa Bantarjati, Kecamatan Kertajati, Kabupaten Majalengka, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Padli Rosyidul Anam;;-6.66482;108.19579
3101;3101;SPPG Kota Sukabumi Cibeureum Babakan 2;Jalan Loa Sari, RT 001/RW 005, Kelurahan Babakan, Kecamatan Cibeureum, Kota Sukabumi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Imam Fabiq Aldimas;;-6.93008;106.95797
3102;3102;SPPG Tasikmalaya Singaparna Singaparna 3;Jalan Raya Citeurep Kelurahan Singaparna Kecamatan Singaparna Kabupaten Taikmalaya Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Rusmawan Jaya Suryaatmaja;;-7.34952;108.11295
3103;3103;SPPG Bekasi Setu Cijengkol;Gang Danau, RT 002 RW 003, Desa Cijengkol, Kecamatan Setu, Kabupaten Bekasi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Singgih Muhamad Yuda;;-6.32452;107.04115
3104;3104;SPPG Kota Cimahi Cimahi Tengah Cimahi;Jalan Terusan Nomor 08, RT 002/RW 003, Kelurahan Cimahi, Kecamatan Cimahi Tengah, Kota Cimahi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Bimantoro Prasetyo Utomo;;-6.87158;107.5449
3105;3105;SPPG Bekasi Cikarang Barat Telagamurni;Perumahan Telaga Murni, Jalan Murai II Blok D28 Nomor 50, Kelurahan Telagamurni, Kecamatan Cikarang Barat, Kabupaten Bekasi, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Ruben Cavin Daniel;;-6.26018;107.11189
3107;3107;SPPG Bogor Cibinong Harapanjaya;Jalan Al-Falah Cikaret Nomor 10, RT 005 RW 004, Kelurahan Harapanjaya, Kecamatan Cibinong, Kabupaten Bogor, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Noor Iqbal;;-6.45261;106.83969
3109;3109;SPPG Kuningan Darma Cipasung 2;Dusun Pahing, RT 009/RW 003, Desa Cipasung, Kecamatan Darma, Kabupaten Kuningan, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Rifnaldi Subangkit;;-7.01802;108.39801
3110;3110;SPPG Tasikmalaya Rajapolah Sukanagalih 3;Kampung Gegerkalong, RT 003/RW 006, Desa Sukanagalih, Kecamatan Rajapolah, Kabupaten Tasikmalaya, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Wawat Saeful Milah;;-7.21478;108.17006
3111;3111;SPPG Tasikmalaya Jatiwaras Papayan;Kampung Demung Landung, RT. 002 RW. 001, Desa Papayan, Kecamatan Jatiwaras, Kabupaten Tasikmalaya, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Duddy Ilham Darulfalah;;-7.47033;108.20647
3112;3112;SPPG Sukabumi Nagrak Balekambang;Jalan warungkaung, Kelurahan Balekambang, Kecamatan Nagrak, Kabupaten Sukabumi, Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Irfan Prayuda;;-6.8842;106.80144
3113;3113;SPPG Garut Tarogong Kaler Jati;Jalan Suherman, Perumahan Pepabri Jati Indah, Kelurahan Jati, Kecamatan Tarogong Kaler, Kabupaten Garut, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Rm Bintang Noer Fadhillah;;-7.1903;107.89851
3114;3114;SPPG Bogor Citeureup Puspasari;Perumahan Taman Kenari Jagorawi, Blok IV C Nomor 44, Desa Puspasari, Kecamatan Citeureup, Kabupaten Bogor, Provinsi Jawa Barat;23-08-2025;JAWA BARAT;Wilayah II;Sohibi Bastomi;;-6.4801;106.87431
3116;3116;SPPG Bogor Caringin Cinagara;Jl. Kabupaten Rt 002 Rw O3, Cinagara, Kec. Caringin Kab. Bogor, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Andika Ghea Prameswari;;-6.73413;106.83362
3117;3117;SPPG Majalengka Kadipaten Kadipaten;Jl. Brawijaya Barat No.88 Dusun Cangkring/Dukuh Bitung Kadipaten, Kecamatan Kadipaten, Kabupaten Majalengka, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Mochamad Akbar Hidayat;;-6.75066;108.15984
3118;3118;SPPG Tasikmalaya Cigalontang Sirnagalih;Kampung Ciparay Kelurahan Sirnagalih, Kecamatan Cigalontang, Kabupaten Tasikmalaya, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Muhammad Rafli Maulana;;-7.30242;107.93371
3119;3119;SPPG Kota Bandung Antapani Antapani Kulon 2;Jl. Antapani Lama No.6, Antapani Kulon, Kecamatan Antapani, Kota Bandung, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Mathias Kevin Reformatio Kembaren;;-6.91649;107.65894
3120;3120;SPPG Bogor Ranca Bungur Rancabungur;Jl. Lkr. Rancabungur, Kec. Rancabungur, Kab. Bogor, Jawa Barat, Rancabungur, Ranca Bungur, Kab. Bogor, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Dafikri Husni;;-6.53378;106.70693
3121;3121;SPPG Tasikmalaya Jamanis Karangresik 2;Kp. Ciomas RT/RW 002/006 Desa Karangresik Kecamatan Jamanis Kabupaten Tasikmalaya;23-09-2025;JAWA BARAT;Wilayah II;Alvie Mutiara Nurani;;-7.1768;108.15284
3122;3122;SPPG Majalengka Sukahaji Cikoneng;Jl. Pangeran Muhamad Blok Kamis Desa Palabuan Kec. Sukahaji;23-09-2025;JAWA BARAT;Wilayah II;Dede Fahmi Ilmatullah;;-6.80529;108.2909
3123;3123;SPPG Garut Malangbong Sakawayana;Kampung Rancamaya Rt/Rw 004/004, Sakawayang, Kec. Malangbong, Kab. Garut, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Hisyam Ibnu Ma`Shum;;-7.03922;108.05099
3124;3124;SPPG Garut Tarogong Kidul Sukagalih 2;Jl. Babakan Loa No. 24, Sukagalih, Kec. Tarogong Kidul, Kab. Garut, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Habib Mumtaz Jr;;-7.19572;107.88513
3125;3125;SPPG Pangandaran Padaherang Karangpawitan;Jl. Raya Pangandaran Padaherang No. 411 Dusun Patinggen 2 Rt 021 / Rw 006, Karangpawitan, Kec. Padaherang, Kab. Pangandaran, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Fiki Kurniawan;;-7.5539;108.69516
3126;3126;SPPG Kota Banjar Banjar Banjar 2;Jl. Dr. Husein Kartasasmita, Banjar, Banjar, Kota Banjar, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Ade Darmawan;;-7.37352;108.52119
3127;3127;SPPG Garut Tarogong Kidul Jayaraga 5;Jl. Mayor Syamsu No. 2 Rt 04 Rw 01, Jayaraga, Kec. Tarogong Kidul, Kab. Garut, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Samsu Romdhona;;-7.20602;107.89556
3128;3128;SPPG Cirebon Mundu Mundu Pesisir;Jl. Mundupesisir No.35, Mundupesisir, Mundu, Kab. Cirebon, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Ade Nuryandi;;-6.75249;108.59091
3129;3129;SPPG Indramayu Anjatan Kedungwungu 2;Jl. Irigasi Wanguk, Sumbermulya, Kec. Haurgeulis, Kabupaten Indramayu, Jawa Barat ;23-09-2025;JAWA BARAT;Wilayah II;Burhan Lukman Syah;;-6.40473;107.94285
3130;3130;SPPG Garut Singajaya Singajaya 3;Kp Singajaya Kidul 001 Rt 002 Rw 001 Desa Singajaya Kecamatan Singajaya Kabupaten Garut, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Fakry Gaffar Ramdani;;-6.46797;107.0593
3131;3131;SPPG Kota Bandung Andir Kebon Jeruk;Jl. Kebon Tangkil No. 11, Kebon Jeruk, Kecamatan Andir, Kota Bandung, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Faisal Muhamad Suryana, S.M., M.M.;;-6.91892;107.59776
3132;3132;SPPG Bekasi Muaragembong Pantai Bakti;Pantai Bakti, Pantai Bakti, Kec. Muaragembong, Kab. Bekasi, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Ely Maylinda;;-5.98786;107.07648
3133;3133;SPPG Bekasi Setu Cijengkol 2;Jl. Cijengkol No.7, Rt.002/Rw.008, Cijengkol, Kec. Setu, Kota Bekasi Jawa Barat 17320;23-09-2025;JAWA BARAT;Wilayah II;Muhamad Padli;;-6.30964;107.0497
3134;3134;SPPG Cirebon Kaliwedi Wargabinangun;Dusun III Rt 018 Rw 005 Desa Wargabinangun, Kec. Kaliwedi, Kab. Cirebon, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Sukarno;;-6.57453;108.39772
3135;3135;SPPG Kota Sukabumi Warudoyong Benteng 2;Jl. Benteng Tengah No. 58 A Rt.002/002, Benteng, Kecamatan Warudoyong, Kota Sukabumi, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Apt. Adika Laudy Rahman, S.Farm.;;-6.92396;106.9151
3136;3136;SPPG Subang Subang Dangdeur 3;Jl. Katamso No 57 Rt. 006 Rw. 57 Kelurahan Dangder, Kecamatan Subang, Kabupaten Subang Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Iphan Herdiana;;-6.55633;107.74987
3137;3137;SPPG Sukabumi Parakansalak Bojonglongok 3;Kampung Balandongan Rt. 004 Rw. 001, Parakansalak, Kabupaten Sukabumi, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Imam Faisal Arridzwani;;-6.79777;106.71509
3138;3138;SPPG Tasikmalaya Karangnunggal Karangmekar 4;Dusun Rancapetir Rt 008 Rw 006, Karangmekar, Kec. Karangnunggal, Kab. Tasikmalaya, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Novi Riyanti;;-7.63035;108.14761
3139;3139;SPPG Bogor Tajurhalang Tajurhalang 4;Jl. Setapak, Rt 001/Rw 005, Tajurhalang, Kec. Tajurhalang, Kab. Bogor, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Muhammad Yusron Faizi;;-6.44899;106.74417
3140;3140;SPPG Bogor Jonggol Jonggol 4;Jl. Raya Jonggol Cariu Km 01 Kampung Bengkok Rt 02 Rw 09 Desa Jonggol, Kec. Jonggol, Kab. Bogor, Jawa Barat;23-09-2025;JAWA BARAT;Wilayah II;Didan Hariyanto;;-6.46893;107.07059
3142;3142;SPPG Sumedang Sumedang Utara Situ;Jl. Prabu Gajah Agung No. 120 Kelurahan Situ Kecamatan Sumedang Utara Kabupaten Sumedang Jawa Barat;24-02-2025;JAWA BARAT;Wilayah II;Evi Anitasari;Yayasan Kyai Haji Abu Syaeri Cikalama;-6.82888;107.91892
3143;3143;SPPG Kuningan Ciawigebang Kapandayan;Jalan Raya Siliwangi No. 432 RT. 09 RW.05 Blok Kliwon Kapandayan;24-02-2025;JAWA BARAT;Wilayah II;Moch Septian I S;;-6.34296;106.73016
3144;3144;SPPG Indramayu Haurgeulis Kertanegara;JL AHMAD YANI KM1 RT 01 RW 01 DESA KERTANEGARA KEC. HAURGEULIS KAB. INDRAMAYU;24-02-2025;JAWA BARAT;Wilayah II;Dika Restu Yugiyanto;Yayasan Barokah Alquran Assyauqi;-6.45796;107.92692
3145;3145;SPPG Indramayu Anjatan Anjatan Utara;Dusun Sasak Mijan RT 28 RW 10 Desa Anjatan Utara, Kec Anjatan, Kab. Indramayu;24-02-2025;JAWA BARAT;Wilayah II;Insani Purwasih;Yayasan Daar Assalam Kenanga;-6.33898;107.968
3146;3146;SPPG Bogor Sukaraja Pasir Jambu;Kp. Tunggilis Pangkalan III No. 66 RT. 002 RW. 008 Kel. Pasir   Jambu Kec. Sukaraja Kab. Bogor;24-02-2025;JAWA BARAT;Wilayah II;Muhammad Nanda Arjuanda;Yayasan Aqsol Huda Bojong;-6.53132;106.81058
3147;3147;SPPG Purwakarta Purwakarta Ciseureuh 1;Jl. Gn. Sunda,Kapling PEMDA  RT.005/RW005,Kel. Ciseureuh,Kec Purwakarta,Kab.Purwakarta;24-02-2025;JAWA BARAT;Wilayah II;Adhita Pragas Diavarisdra;Yayasan Al Insyirah Firdausy Mobarok;-6.51735;107.46777
3148;3148;SPPG Indramayu Sukra Sumuradem Timur;Dusun Kenanga RT.004/006 Sumuradem Timur;24-02-2025;JAWA BARAT;Wilayah II;Ridwan Novia Saputra;;-6.98776;112.48749
3149;3149;SPPG Kota Sukabumi Cikole Cikole;Perum Prana Blok A4 Kav 1-3 Rt  006 Rw 003 Kelurahan Cikole Kecamatan Cikole 43113;24-02-2025;JAWA BARAT;Wilayah II;Agus Lesmana Putra;Yayasan Gerakan Pemberdayaan Bangsa Indonesia;-6.91378;106.93756
3150;3150;SPPG Cirebon Babakan Babakan;Jl. Raya Babakan No. 05 RT/RW 001/ 001, Desa Babakan;24-02-2025;JAWA BARAT;Wilayah II;Syahnaz Nazhifah Martha;Yayasan Pusat Pendidikan Luhur Al Jilani;-6.56155;106.73221
3151;3151;SPPG Bandung Cileunyi Cinunuk;Jl. Raya Cinunuk  No.122, Desa Cinunuk;24-02-2025;JAWA BARAT;Wilayah II;Rodiyatussolihah;Yayasan Selamat Berkah Umat;-6.93311;107.7269
3152;3152;SPPG Kota Bandung Coblong Lebak Gede ;Jl. Dipatiukur No. 93A;24-02-2025;JAWA BARAT;Wilayah II;Gunawan Wicaksono;Yayasan Cahaya Solid Berdaya;-6.89093;107.61723
3153;3153;SPPG Kota Bekasi Bekasi Selatan Jakasetia 1;Jl. Bulan 1 No. 23, RT 001/ RW 014, Jakasetia, Bekasi Selatan, Bekasi;24-02-2025;JAWA BARAT;Wilayah II;Anissa Ema Ratna Hapsari;Yayasan Salman Peduli Berkarya;-6.25797;106.96667
3154;3154;SPPG Sumedang Sumedang Selatan Regol Wetan 2;Jl. Cut Nyak dien No 75 A RT.003/007 Regol Wetan Sumedang Selatan;24-02-2025;JAWA BARAT;Wilayah II;-;;-6.86215;107.92279
3155;3155;SPPG Kota Sukabumi Gunung Puyuh Karamat;Jl. bhineka karya No 36 RT 002/006 Kel karamat, kec gunung puyuh kota Sukabumi ;24-02-2025;JAWA BARAT;Wilayah II;Didi;Yayasan Project Local Sukabumi;-6.90259;106.92143
3156;3156;SPPG Bandung Barat Lembang Kayuambon;Jl. Maribaya No. 50, Rt02/Rw04, Desa Kayuambon, Kecamatan Lembang, Kabupaten Bandung Barat, Provinsi Jawa Barat.;24-02-2025;JAWA BARAT;Wilayah II;Restu Aji Putra Nugraha;Yayasan Hamasah;-6.81803;107.63045
3157;3157;SPPG Sumedang Jatinangor Hegarmanah;Jalan Bandung-Cirebon Perumahan Panorama blok H37 Desa Hegarmanah Kecamatan Jatinangor Kabupaten Sumedang Jawa Barat;24-02-2025;JAWA BARAT;Wilayah II;Untsa Rabbani Sumirat;Yayasan Kyai Haji Abu Syaeri Cikalama;-6.9313;107.77883
3158;3158;SPPG Kota Bandung Regol Ciseureuh;JL. PURI DAGO MAS  UTAMA NO.65, RT 007/ RW 023;24-02-2025;JAWA BARAT;Wilayah II;Maria Vioni Madyana Putri;Yayasan Cahaya Solid Berdaya;-6.92378;107.66643
3159;3159;SPPG Sukabumi Cicantayan Cimahi;Jl. Babakan Tipar RT 36/02 Desa Cimahi;24-02-2025;JAWA BARAT;Wilayah II;Muhammad Rihan Riski Fahlevi;Yayasan Relawan Ruang Peduli;-6.8731;107.54392
3160;3160;SPPG Subang Pusakanagara Pusakaratu;Jl Raya timur pusakanagara desa pusakaratu kec pusakanagara subang;24-02-2025;JAWA BARAT;Wilayah II;Risma Ayu Rama Wijayanti;Yayasan Daar Assalam Kenanga;-6.28264;107.86925
3161;3161;SPPG Bogor Cigombong Pasirjaya;Villa kebon ashri , Jl. panyarang (sebrang mesjid bupati) , Desa pasir jaya , kec cigombong ;24-02-2025;JAWA BARAT;Wilayah II;Ajeng Finari Mumaris;Yayasan Mufidatun Nisaa;-6.72496;106.78237
3162;3162;SPPG Kota Bandung Buahbatu Margasari 1;Jl. Margacinta No.71, Kel. Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat;24-02-2025;JAWA BARAT;Wilayah II;Theodora Shitta Chrisworodyta;Yayasan Dangiang Galuh Pajajaran;-6.95489;107.64423
3163;3163;SPPG Kota Bandung Astana Anyar Karasak;Jalan Karasak Utara IV No 14 Kelurahan Karasak;24-02-2025;JAWA BARAT;Wilayah II;Felisia Septiarini;Yayasan Dapur Sehat Merah Putih;-6.94608;107.60559
3164;3164;SPPG Tasikmalaya Singaparna Singaparna;Jl. Ktr. Pos No.26D, Kebonsalak, kec. Singaparna Kabupaten Tasikmalaya;24-02-2025;JAWA BARAT;Wilayah II;Claudya Magdalena Harianja;Yayasan Cahaya Al Barkah Bambuduri;-7.34784;108.11159
3165;3165;SPPG Bandung Barat Cisarua Jambudipa;Kp. Panyandaan RT/RW 001/014 Desa Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat;24-02-2025;JAWA BARAT;Wilayah II;Setya Wiguna Muliarta;Yayasan Tarbiyatul Qur`An Cisarua Tarbiqu;-6.81194;107.56465
3166;3166;SPPG Sumedang Sumedang Selatan Regol Wetan 1;Jl. Pangeran Sugih No.8 Kelurahan Regol Wetan Kecamatan Sumedang Selatan Kabupaten Sumedang Jawa Barat;24-02-2025;JAWA BARAT;Wilayah II;Indah Nur Octavia;Yayasan Kyai Haji Abu Syaeri Cikalama;-6.85186;107.91497
3167;3167;SPPG Kota Bandung Cibeunying Kaler Cigadung;Jl. Kasungka no. 3;24-02-2025;JAWA BARAT;Wilayah II;Alifia Ayu Fitriani;Yayasan Amanah Puri Annisa;-6.87531;107.62834
